createdAt,author,uri,text,query
,joyceabcdefg.bsky.social,at://did:plc:e2miofxavagzfon46i6bc5nq/app.bsky.feed.post/3lyobovp5hk2s,How many trans people have to be murdered because of the constant rhetoric of Charlie Kirk? Any sympathy for his death is purely virtue signalling and just bigots figuring out they can be violently touched the way they touch those of vulnerable communities. He deserved to die.,he deserved
,222-alyssa-222.bsky.social,at://did:plc:jz3ex7lvwvz2hurqrqyhi6ld/app.bsky.feed.post/3lyo3ijjdes2x,"The difference is that it's good to celebrate the deaths of those who would have (and in fact had) danced on the graves of innocents. He was a piece of shit and got what he deserved. Defending him now makes you look like a nazi sympathizer. And no, I'm not going to feel sorry for saying that either.",he deserved
,mark31520.bsky.social,at://did:plc:z4jkyoshi3uukgo5llhxnww6/app.bsky.feed.post/3lynzza2vws2x,"Liberals: Charlie kirk was a fascist who believes trans people are criminals and abortion is equivalent to murder. He deserved to die.

Conservatives: Charlie Kirk was a loving husband, and father, to help liberals by having a debate. He shouldn’t have died.",he deserved
,antraxglitterbomb.bsky.social,at://did:plc:sjkxtm7s57pgl5limaontpeu/app.bsky.feed.post/3lynzjetjnc2i,"He's a pussy, Kirk got what he deserved, nazis deserve to meet their ancestors. Full stop. Quit being a model victim to people who want to kill minorities.",he deserved
,mxbice.bsky.social,at://did:plc:2aslmx2bzldqtckdrbe3ncbd/app.bsky.feed.post/3lynwdzyzfc2g,"Kirk was a Nazi who got what he deserved. He got off lightly, he should have suffered more.
I hope in his last seconds he was aware of what was happening to him.
He defended guns and guns killed him.
He hated empathy and he will get none.
May he rot.",he deserved
,rechoraccoon.bsky.social,at://did:plc:4ogq4k7a6bzpqabiwnleelq4/app.bsky.feed.post/3lynw7tutrs2q,"If the shooter deserves the death penalty, then #CharlieKirk deserved to die. Democrats condemning the shooting is only giving Republicans more power. Charlie Kirk was a significantly worse person than the Shooter. Charlie never just ""voiced his opinion"", he incited hate and violence against trans-",he deserved
,sigjar.bsky.social,at://did:plc:ojvb3lobuyftqmkulxf7c3v6/app.bsky.feed.post/3lynmyjw4yk2z,"Sure, I don’t agree with him on barely any point except trans issues, but I don’t celebrate his death. I think we forget these are real people. If I agree he deserved to die, what is to stop people who hear JKR’s ""dogwhistle"" of ""literal genocide"" from agreeing with a similar fate for her?",he deserved
,cybrpnkvalksg1rl.bsky.social,at://did:plc:2eghpaiaauywh5zefklbxwlg/app.bsky.feed.post/3lynmy4jaf22l,Kirk was not murdered he was executed. And his execution is great for the United States. He was a traitor and a Nazi. He got what he deserved.,he deserved
,benderlives.bsky.social,at://did:plc:hlx5ntqcfwqsjgrylqtgrhsp/app.bsky.feed.post/3lyndu6lois2d,Tell them he was a Nazi pig who called down the thunder on school shootings and then got what he deserved.,he deserved
,ukigumo.nl,at://did:plc:y3n7cumt7dsendlsn66wsuym/app.bsky.feed.post/3lymrxdk6cs2z,"""He was transphobic and homophobic, he deserved to die""

I have *excellent* news for you about the population of Gaza",he deserved
,ayeamrish.bsky.social,at://did:plc:bvhktpzsomzevu7h5ygcjtje/app.bsky.feed.post/3lymmb7fyhc2r,"""He was transphobic and homophobic, he deserved to die""

I have *excellent* news for you about the population of Gaza",he deserved
,basedacid.bsky.social,at://did:plc:2ul2dl4kh4kg5yubv4c7r7jz/app.bsky.feed.post/3lymd7v35fc2l,"Here we go again. The panties are SOOO bunched. Gonna say it again loud and clear.......

COME AND TAKE SOCIAL MEDIA FROM MY COLD DEAD HANDS. PISS ON HIS GRAVE. HE GOT WHAT HE DESERVED. WHAT HE SOWED SO DID HE REAP, YOU UNCONSTITUTIONAL NAZI BIBLE BOY!

Yeah.",he deserved
,korraxyz.bsky.social,at://did:plc:w6cl4fyv6mdvjmsy7pw6fak5/app.bsky.feed.post/3lyma4qux7s2j,"in my opinion, hitler deserved to die because of what he did, not what he believed in.
the majority of the world is misled into believing in, for example, antisemitism because of religion or politics or otherwise, doing so does not inherently mean that they are bad people, just they are misguided",he deserved
,rebel-scumm.bsky.social,at://did:plc:xcoohjh36xkptilfdlusldbu/app.bsky.feed.post/3lym6ukoltk2p,I got blocked by at least a dozen sites for stating the truth who were making Kirk a Martyr. The guy was a nra gun nut instigator who advocated killing gays on college campuses. That ain't freedom. It's a Nazi slap in the face & he got what he deserved. Zero empathy for an instigator,he deserved
,indigenousartist.bsky.social,at://did:plc:4z3kd75ih4inu7vvbignhs7b/app.bsky.feed.post/3lym5pg53l22k,"What a fucking pig he was. He deserved to be taken out at age 31. Too bad it took so long, the hateful, nastyass, nazi pig. I'm glad he's gone. Hope he's burning in fucking hell right now. All he spewed was hate and derision. What a sick, sick mind he had.",he deserved
,indigenousartist.bsky.social,at://did:plc:4z3kd75ih4inu7vvbignhs7b/app.bsky.feed.post/3lym5kerwuk2k,"What a fucking pig he was. He deserved to be taken out at age 31. Too bad it took so long, the hateful, nastyass nazi pig. I'm glad he's gone. Hope he's burning in fucking hell right now.",he deserved
,cm.baysky.social,at://did:plc:zwumz53stx4m2p25mgk7esjx/app.bsky.feed.post/3lym2khvyo623,Few things make me as happy as reading about the early death of a nazi. Fuck Charles Kirk. Got what he deserved.,he deserved
,kavism.bsky.social,at://did:plc:dbu5lh4sihpb3xo5eue3ksvh/app.bsky.feed.post/3lylyy3s6wk2u,"Just want to say, I'm glad Hitler died the way he did. Not to incite violence or anything - just that he deserved to die and I'm glad he did. I would never glorify violence. Wish he'd died sooner.",he deserved
,edibleramen.bsky.social,at://did:plc:ms2xrkvxbmp6tvv6qwzpcpbg/app.bsky.feed.post/3lylt3noc7c2u,"I never said he deserved to die, but you can't possibly expect me to feel empathy for someone who wouldn't care if I died because I'm trans. And you did brush off what I said by saying that the fire on the boat was self-inflicted, implying that it means it doesn't matter if innocents die as a result",he deserved
,dragonmommaryuuza.bsky.social,at://did:plc:lykb673qbskiwfuov7tnbvfu/app.bsky.feed.post/3lylrzojhzc2x,only failed man i see is the nazi soundin bitch talkin shit cause a nazi got what he deserved.,he deserved
,unreasonable-man.bsky.social,at://did:plc:ve3q25p65yscbkqivw2b2dct/app.bsky.feed.post/3lylrcpveas23,"Cry harder, quisling. The Nazi got what he deserved. Find a real tragedy next time. There are plenty to choose from, and you enabled most of them.",he deserved
,intersex-insights.bsky.social,at://did:plc:f275qttzpkso6jezlemfd7v4/app.bsky.feed.post/3lylqgtjj5c2r,"He got what he deserved and I CELEBRATE his neutralization. He advocated for genocide of 5.6 million intersex Amwricans and our 1.9 to 3.8 million Trans Americans friends. Your post is tone deaf, Bernie.",he deserved
,ozymandias79.bsky.social,at://did:plc:r3ieebmfqnbxyjkadkzpqvrq/app.bsky.feed.post/3lylmon3p2c2p,"i'm not gonna say someone's stupid for believing this, but how much do you hate how your life turned out that you'd be ready to believe this without question?
stupidity's certainly possible, but kirk was a ragebaiting hatemonger nazi who was paid to incite hate and got what he deserved. RIH",he deserved
,ashvamproot.bsky.social,at://did:plc:657rxjqa6eizehoqelyzlgld/app.bsky.feed.post/3lylkf2ncyk2v,Ya side with a Nazi see where that gets you and your confliction with violence. Honestly if the man’s ideals lead violence themselves wouldn’t you think with your “nonviolent” energy that he got what he deserved and incited,he deserved
,machineiv.bsky.social,at://did:plc:kencoby5i63tp7kpzm6m75oi/app.bsky.feed.post/3lyljgdggik2k,"“An honored veteran of the Great War, I didn’t agree with everything Adolf Hitler said. But that doesn’t mean he deserved to die. Violence is never the answer and everyone fomenting violence against the Nazis should be ashamed right now.”",he deserved
,kennyfoxy.bsky.social,at://did:plc:cami5fqquzv4rktb3eddgwio/app.bsky.feed.post/3lylhcoxdkc2j,"I know I'm not, but lets at least get one thing straight. The right was always going to attack the left until the left fought back. It was never not going to happen. Diplomacy was declared a weakness, law was weaponized, the military turned on the citizens, and now a NAZI got WHAT HE DESERVED.",he deserved
,h00pla.bsky.social,at://did:plc:szogd7tnrcazqtpugfurdwuk/app.bsky.feed.post/3lylbuchcwk2q,Sorry the nazi got what he deserved,he deserved
,jonathanlack.bsky.social,at://did:plc:ehp64kg2i53dep4od2z5ey22/app.bsky.feed.post/3lyl7rray4222,"The end goal of the 'debates' Kirk hosted was the violent repression of free expression from women, from trans people, from immigrants, and so on. There would be no free debate in the world Kirk hoped to shape. That doesn't mean he deserved to die - but his death doesn't erase that truth.",he deserved
,davidlouisedelman.bsky.social,at://did:plc:zyuoaslwwwzuzrxpusqvxoqn/app.bsky.feed.post/3lyl56asm7k2f,"Charlie Kirk was a toxic shithead. Doesn’t mean he deserved to get shot in a public forum. The whole thing — everything that the US has become, thanks to MAGA — just makes me sad and depressed. And Kirk’s death will only enrage the Nazis all the more. How about no more killing?

#CharlieKirk",he deserved
,yacota.bsky.social,at://did:plc:i3mgathswpx7omb6lthkjl5k/app.bsky.feed.post/3lyl4bycjbk2k," they are ignoring our voice are you dumb? This man is a straight up nazi. There is no ""moral"" obligation to suffer people who violate the paradox of tolerance. His entire ideology was ""kill people that arent like me"". He deserved to die. Period. There is no place for those people in a community",he deserved
,marshmallowpie.bsky.social,at://did:plc:jfnpqprabkifnrj5wyst2ai7/app.bsky.feed.post/3lykxxelgks2c,"You can cheer for and celebrate the death of a nazi and still be a good person, no need to morally whitewash this. He was an awful monster that deserved to die, and we're better off for it.",he deserved
,h00pla.bsky.social,at://did:plc:szogd7tnrcazqtpugfurdwuk/app.bsky.feed.post/3lykxrr5xys22,Sorry your nazi friend got what he deserved,he deserved
,h00pla.bsky.social,at://did:plc:szogd7tnrcazqtpugfurdwuk/app.bsky.feed.post/3lykxdsw2xs2r,Sorry your nazi friend got what he deserved,he deserved
,atropinedreams.bsky.social,at://did:plc:uuosqcbisfdzu5wh5asdi3dn/app.bsky.feed.post/3lykx26e7422t,If you’re boohooing for Charlie Kirk or shitting on people celebrating just remember you’re showing more empathy for a nazi than for the marginalized people his rhetoric has hurt and killed over the years. That man was evil and got what he deserved,he deserved
,gaythembo.bsky.social,at://did:plc:gaivqu2s2s3u4g7jlwwtf45q/app.bsky.feed.post/3lykwwhokos2v,whether or not he specifically deserved to be killed was off the table the moment he started justifying the murder of little children and trans people who clearly didn't deserve their deaths,he deserved
,mrmky.bsky.social,at://did:plc:oqndomxa5kaclyaxph3jgvjs/app.bsky.feed.post/3lykvfdlgks2q,"Not saying he did or didn’t deserve to die by the violence he advocated for, not my place. But how much worse does one have to be b4 it is justified? 10 yrs ago I feel confidant that Americans would have agreed Hitler deserved it, but now? And our president glorifying and advertising the murder of",he deserved
,highly-dubious.bsky.social,at://did:plc:ljivmgdaf7xj4hu2xypi64rn/app.bsky.feed.post/3lykqjsy5kc2r,Yes. Kirk was a Nazi. A white nationalist who supported the use of violence against any person or group that wasn't a straight white Christian male. He got what he deserved. It's conservatives/the right who don't know what a Nazi is because it involves looking in a mirror.,he deserved
,green-crows.bsky.social,at://did:plc:vhtsxub26cs2a255l72j36k3/app.bsky.feed.post/3lyknpswshk22,"Nah, he got what he deserved. He literally was just talking about how dangerous trans people and minorities are. Rest in piss",he deserved
,highly-dubious.bsky.social,at://did:plc:ljivmgdaf7xj4hu2xypi64rn/app.bsky.feed.post/3lykna7hll22r,Kirk got what he deserved. The only good Nazi is a dead one.,he deserved
,hoosiergreg.bsky.social,at://did:plc:e4eyp3pkq7tjunpbipkp4ei5/app.bsky.feed.post/3lyklteldb223,"That nazi got what he deserved. Damn right people are celebrating. 
He just recently said women should basically shut up and just have more kids. Fuck him and good riddance!!!!!!",he deserved
,unclewaldorf.bsky.social,at://did:plc:oy4a2tjz2e35wdbmorzpvqly/app.bsky.feed.post/3lykiqbef3k2e,"Charlie Kirk was a Nazi, and he got what he deserved.

Good riddance.",he deserved
,fighttrump.bsky.social,at://did:plc:qicicbtgbyh7qrg4ahkkw55i/app.bsky.feed.post/3lykhyn2rw22d,Mainstream propaganda media trying to rewrite them as an activist. He was a shit stain on American society and he got what he deserved. I won’t cry for Hitler and I won’t cry for Charlie.,he deserved
,nromenzer.bsky.social,at://did:plc:4mcjthnj2rp6xv5shauojutw/app.bsky.feed.post/3lykh5hq7lc2b,"This fucker claimed empathy shouldnt exist, so i wont have empathy for this nazi, he got what he deserved.",he deserved
,tigerknight957.bsky.social,at://did:plc:oxudtaotkt3x22fys5ybxep2/app.bsky.feed.post/3lykcz7pdus2y,"Hey uh did you make these comments after the Hortman assassination in Minnesota? Rhetorical I know you didn’t 

So why het up a Nazi who said dead child’s were the price of the 2nd amendment and the civil rights movement of the 60s was a mistake got what he deserved. Show him the empathy he preached",he deserved
,membu.org,at://did:plc:5xg4ibf2d6gami3xzakyr4mg/app.bsky.feed.post/3lyk7z74uk22r,"#MeMBu's official position is, fuck Charlie Kirk's psuedo-religious nationalist dogma. 

Yes his nazi ass deserved to die, and We hope he burns in hell. 

Stay mad, mfers. 

#MAGAcide
#MeMBu",he deserved
,difficultopinions.com,at://did:plc:mbosfzgbkwlrdopguhmiq3r6/app.bsky.feed.post/3lyk5kwuvxc2u,"Charlie Kirk, the anti-choice, 2A gun absolutist, misogynist, racist, homophobic, anti-vax, Muslim-hating, anti-trans, pro-Russian, and far-right-wing political icon, didn't deserve to die by assassination.

He deserved to be hated by all good people for his entire life.",he deserved
,cybrpnkvalksg1rl.bsky.social,at://did:plc:2eghpaiaauywh5zefklbxwlg/app.bsky.feed.post/3lyk4ti4hq22z,Hardly. Kirk wasn't giving a racist speech. It was a transphobic speech and his death was not political violence. His death was gun violence. Kirk was a traitor and a Nazi and got what he deserved. As should all traitors and Nazis.,he deserved
,deadlight.bsky.social,at://did:plc:37mqncqhjkcd3imzb5ftgw2b/app.bsky.feed.post/3lyk2o5zlj22a,"He was a nazi. He said nazi things and had nazi views. He thought the civil rights act was a mistake, he thought gay people shoild be stoned to death. You should hat him and he got what he deserved.",he deserved
,costumedactivist.bsky.social,at://did:plc:cfp4xhpvtmzc3mrjw6rhrumg/app.bsky.feed.post/3lyk2nn7ax227,He was a Nazi. A Nazi got what he deserved,he deserved
,h00pla.bsky.social,at://did:plc:szogd7tnrcazqtpugfurdwuk/app.bsky.feed.post/3lyjzs6mk2c2r,Sorry your nazi friend got what he deserved,he deserved
,hoosiergreg.bsky.social,at://did:plc:e4eyp3pkq7tjunpbipkp4ei5/app.bsky.feed.post/3lyjyizsf5k2v,"You're fucking weak. That racist nazi misogynistic asshole got what he deserved. 
Your party's prayers are fucking ridiculous. 
This is why your party is failing- YOU'RE ALL FUCKING WEAK!!!",he deserved
,canadainbigmac.bsky.social,at://did:plc:clq4s74jhfihp2ngsng4ipmx/app.bsky.feed.post/3lyjviaoyms22,You people are so transparent in your double standards you dont care that kirk got what he deserved you only care it was somebody you looked up to,he deserved
,auntywilly.blacksky.app,at://did:plc:ykfzlfcljbkbdeqjo5hdrxpc/app.bsky.feed.post/3lyjsnzc6f22f,"I do not condemn the violence that ended the life of a racist. 
That man got what he deserved and fuck all you pussies who refuse to call him what he was: A NAZI. 
Rest in piss you spineless troglodyte. We will shit on your grave.",he deserved
,scort.cc,at://did:plc:obn3vtbzwd2qiq6jekvxbbpj/app.bsky.feed.post/3lyjrv5vf4s22,"to clarify: kirk is a nazi and he got what he deserved but is honestly kind of worrying for the future, fascists will just use this as an opportunity to further accelerate their fascist playbook",he deserved
,3-35or3-34.bsky.social,at://did:plc:lqe3dvhssrxjbj3xaxyrzbbw/app.bsky.feed.post/3lyjqnpjj5s2h,Exactly. Charlie Kirk may not have deserved to die but he was still a massive bag of shit - just like every single Trumper. No need to weep for a Nazi.,he deserved
,enterprisedeez.bsky.social,at://did:plc:hwxy4zdceq5isjg4o7uelk7d/app.bsky.feed.post/3lyjpwam6ok2z,Lmao you made an account here just to cry because your emotional support Nazi got what he deserved. Your life is meaningless,he deserved
,lluck002.bsky.social,at://did:plc:eqozpk66pluu6kzpex4utpot/app.bsky.feed.post/3lyjotluzoc22,"@governor.ca.gov what the actual fuck is that post? It’s like every time you gain political traction, you can’t help but push away your own supporters. We are dealing with NAZIS! KIRK WAS A LITERAL NAZI! He got what he deserved and his “work” (damage) should be rectified, not celebrated!",he deserved
,lluck002.bsky.social,at://did:plc:eqozpk66pluu6kzpex4utpot/app.bsky.feed.post/3lyjotc2edk22,"@governor.ca.gov what the actual fuck is that post? It’s like every time you gain political traction, you can’t help but push away your own supporters. We are dealing with NAZIS! KIRK WAS A LITERAL NAZI! He got what he deserved and his “work” (damage) should be rectified, not celebrated!",he deserved
,irynaov.bsky.social,at://did:plc:d3imclzzhyinjfvav3bphduq/app.bsky.feed.post/3lyjm64y6mc2l,Nazi got what he deserved. What they all deserve.,he deserved
,chelittle.bsky.social,at://did:plc:zvmpvzzi5yohy7g3rr7phyai/app.bsky.feed.post/3lyjkljcgu22t,Wrong he was not murdered he was killed. He was not an extremist provocateur and purveyor of just hate he was a f**** Nazi propagandist and he got what he deserved. And he is not a hero obviously and he's no martyr he's a God damn coward that got exactly what he f**** deserved and there will be more,he deserved
,chelittle.bsky.social,at://did:plc:zvmpvzzi5yohy7g3rr7phyai/app.bsky.feed.post/3lyjkeykvqc2j,No Kirk is not more important he's a f****** Nazi pop again this and he got what he deserved and there will be more Nazis that will meet the same fate or similar.,he deserved
,enterprisedeez.bsky.social,at://did:plc:hwxy4zdceq5isjg4o7uelk7d/app.bsky.feed.post/3lyjiqny6ds2i,You're the only one mad that Charlie Kirk got what he deserved. Calling people slurs won't bring your favorite Nazi back,he deserved
,6luci6terra6.bsky.social,at://did:plc:fdpu2jmvxnfcflxycxghxsxj/app.bsky.feed.post/3lyjhmporxc2j,"Yea, no one is surprised. The nazi got what he deserved.",he deserved
,ottovondanger.bsky.social,at://did:plc:h5zn2cip33m5y4fm2u6bokbp/app.bsky.feed.post/3lyjgxi26us2r,He's a dead Nazi that got what he deserved,he deserved
,thehomeworkogre.bsky.social,at://did:plc:hfikt72ata3lzkn42iumozsg/app.bsky.feed.post/3lyjgu5kmv222,"I was getting my oil changed and the mechanics all kept saying that he was a ""tiny faced Nazi freak who got what he deserved"" and I'm not sure I'll be going back",he deserved
,slendy5127.bsky.social,at://did:plc:dfjnpmcpxfm7gee3qvyx7j42/app.bsky.feed.post/3lyjg3ushgc2l,I’m sorry you’re mad sane people aren’t heartbroken the Nazi got what he deserved.,he deserved
,resisttheorange1.bsky.social,at://did:plc:xyiyy3mxk3ncyg6x6kl4voh5/app.bsky.feed.post/3lyjfcmreo22n,I do not Governor.  This is a war for our very democracy.  That Nazi got what he deserved.,he deserved
,oriondblack.bsky.social,at://did:plc:2yvljglawapznogfoezmxxmf/app.bsky.feed.post/3lyjefgnoic22,"You can say that Palestinians deserve to die, that trans people deserve to be killed, and that immigrants should be kidnapped and murdered, but you can't say that that motherfucker got what he deserved. Thems the rules.",he deserved
,jpa722.bsky.social,at://did:plc:rkucwgpnc3bw2fryli3ngynf/app.bsky.feed.post/3lyjdc6xcss2v,"ANyone who mourns Charlie Kirk deserves to meet the SAME fate. He got exactly what he deserved. He was walking talking scum, no less than Hitler, Goebbels, Goering, Heydrich Himmler, Hess, Eichmann, and the rest. May he rot in Hell where he belongs",he deserved
,overjoyedoverdrive.bsky.social,at://did:plc:kxkjk47nrcf5gptxo6vyn7uy/app.bsky.feed.post/3lyjcfpbp5k2x,"If he talks like a Nazi, walks like a Nazi, and sits amongst Nazis, then he’s a Nazi, and he deserved to get shot like a Nazi.",he deserved
,cybrpnkvalksg1rl.bsky.social,at://did:plc:2eghpaiaauywh5zefklbxwlg/app.bsky.feed.post/3lyjb7kqkzk2j,"No, the ones who are telling us to be respectful and that violence is not the answer are the ones doing the damage. Kirk spent decades inciting violence. He was a Nazi and got what he deserved.",he deserved
,hastermadking.bsky.social,at://did:plc:p5ojrzkeaq24o6ng4w4ciwpw/app.bsky.feed.post/3lyjaofy2is2l,Hes a fucking nazi. Stop acting like he is a saint. He spread hate and he got what he deserved. He was a nazi. A NAZI.,he deserved
,daddo21.bsky.social,at://did:plc:hmcmmz5idby46c5weu6czefo/app.bsky.feed.post/3lyj7xp7tbs2n,"You can't take the High Road all of the time. Charlie Kirk was a scumbag piece of Rino Shit who didn't give a fuck about children being murdered for the crime of learning.

🖕 Fuck Charlie Kirk, the Nazi Pedophile protector got what he deserved. I wish there was a Hell for him to rot in, butt alas 🤷.",he deserved
,kisenosato.bsky.social,at://did:plc:rztofjrc6xbx6bhnaa55bf45/app.bsky.feed.post/3lyj7mjgkdc2l,"He was no hitler, or putin, but he was their enabler. it's people like him who bring putin and hitler to power. He got what he deserved.",he deserved
,zyxst.bsky.social,at://did:plc:td7xe77wphrg2whbtdielf2a/app.bsky.feed.post/3lyj7egujrk2a,Anyone telling me I should have sympathy for him dying can get fucked. Kirk was a Nazi piece of shit who got what he deserved.,he deserved
,scottest.bsky.social,at://did:plc:6qawnqjcjeonfzdsf37mlssb/app.bsky.feed.post/3lyj57nnjwc2t,STOP with this bullshit. He was a Nazi and he got what he deserved.,he deserved
,misterianzajac.bsky.social,at://did:plc:zu2b2ug5bk2ppgui33grvqbn/app.bsky.feed.post/3lyj4cpdkxc2t,"No it is not on point.
Never even once has a Nazi fascist been defeated any other way.
Not here.
Not in Europe.
Not ever.
Charlie Kirk has been calling for political violence against immigrants & LGBT people FOR YEARS.
He’s literally one of the most dangerous Nazis on earth and got what he deserved",he deserved
,byebye2urlife.bsky.social,at://did:plc:js732burpmweenmja335xy34/app.bsky.feed.post/3lyj467rtwk22,"Lmao. He never cared about others families or others sons. He kicked out every trans from the af academy and took their benefits. As a veteran who actually served with trans and gays, He got what he deserved.",he deserved
,chelittle.bsky.social,at://did:plc:zvmpvzzi5yohy7g3rr7phyai/app.bsky.feed.post/3lyj3wi6zns2c,Oh I'm ready for all your b******* today that f****** Nazi got what he deserved and I'm going to call you out for your Nativity and your f****** hypocrisy.,he deserved
,boodikii.bsky.social,at://did:plc:sxfo4urzrqczoqpzacej7rcj/app.bsky.feed.post/3lyj33vv6ss2l,"Kirk got what he deserved for helping perpetuate Nazi Nationalism.

It stops being ""Just another opinion"" when you have a microphone and an audience, then it becomes a weapon. You don't go into a weapon fight empty handed and the love for our country taught us fascists deserve bullets.",he deserved
,newbunkle.bsky.social,at://did:plc:f4ksy2kxwcydawhxjitb25xl/app.bsky.feed.post/3lyizxxh5yc2w,Fuck Charlie Kirk. He tried to incite violence against trans people by falsely smearing them as dangerous lunatics. He got what he deserved.,he deserved
,cfos39.bsky.social,at://did:plc:hqhemusm7r7hxhy5twm2h2uj/app.bsky.feed.post/3lyiymuhwp22c,"I'm not qualifying it. He's a nazi and a monster and he deserved it. Fuck him, not sad.",he deserved
,briceinkling138.bsky.social,at://did:plc:nbgyqzsctnbxmtokwcqtjm7z/app.bsky.feed.post/3lybtoel5bs2g,"I'm not surprised at all that he tried to do this, nor am I even surprised that he still won't learn to accept trans and nonbinaries, especially as a Republican president. But, all I can say is I guess he got what he deserved.

Though, I am still rooting for that fucker to drop dead in office.",he deserved
,menacingbottom.bsky.social,at://did:plc:wdatxsytrkfsrsnxdm7evmmi/app.bsky.feed.post/3ly4md2enfc2k,"Oh yeah, I remember this one, Norm was referring to a teenage murder victim who ""deserved to die"" because he was transgender. Funny.

www.digitaltransgenderarchive.net/catalog?f%5B...",he deserved
,gisellaperl.bsky.social,at://did:plc:phsxnu6gocoecial4upcu4bh/app.bsky.feed.post/3lxhpq3u7is2z,Lmfao! Fucking NAZI got what he deserved!,he deserved
,jonesonjim.bsky.social,at://did:plc:sax7g6xpey3lb4sj6id6iszx/app.bsky.feed.post/3lwzn3i4bbk2h,Niemoller was a fucking Nazi simp who got what he deserved...,he deserved
,coloradotransplant.bsky.social,at://did:plc:jq4xxhum2zfpfnnp53kiaa4m/app.bsky.feed.post/3lwwuwpqwzs2e,"Well, just think how the parents of children murdered at Sandy Hook felt when he said their kids deserved to die because God doesn’t like gay and trans people… what goes around comes around.",he deserved
,jeff53536.bsky.social,at://did:plc:ztjfwirnray2eeymkyubh5t3/app.bsky.feed.post/3lwtsws4nnc2y,"Trump loves this freak! We'll see how he likes how it ends. Hitler, after causing the death of millions, got what he deserved. The coward killed all those people but took the easy way out for himself. Now he spends eternity in the same place Trump is headed. Happy trails assholes!",he deserved
,jaerostrikes.bsky.social,at://did:plc:akkksgqqy5ty2kxrjincnypi/app.bsky.feed.post/3lyrpufszhs2h,"Idk how to say this but that's the most MAGA/Nazi coded possible phrasing to use for saying ""Kirk deserved to die and no one should feel bad saying it"".",deserved it
